Date,NK_Open,NK_High,NK_Low,NK_Close
2010/12/28,10311,10326.5,10283,10292.63
2010/12/29,10273,10358.5,10273,10344.54
2010/12/30,10303,10308,10178.5,10228.92
2011/1/4,10326,10409,10309.5,10398.1
2011/1/5,10369,10399.5,10349.5,10380.77
2011/1/6,10495,10529.76,10490.5,10529.76
2011/1/7,10500,10542.5,10500,10541.04
2011/1/11,10467,10533.5,10467,10510.68
2011/1/12,10558,10568.5,10498.5,10512.8
2011/1/13,10598,10613.5,10568.5,10589.76
2011/1/14,10563,10575.5,10490.5,10499.04
2011/1/17,10550,10560.5,10480.5,10502.86
2011/1/18,10470,10545.5,10450.5,10518.98
2011/1/19,10565,10580.5,10530.5,10557.1
2011/1/20,10490,10500.5,10420.5,10437.31
2011/1/21,10465,10465,10255.5,10274.52
2011/1/24,10320,10345.5,10275.5,10345.11
2011/1/25,10370,10475.5,10350.5,10464.42
2011/1/26,10410,10440.5,10395,10401.9
2011/1/27,10455,10485.5,10415.5,10478.66
2011/1/28,10465,10475.5,10315.5,10360.34
2011/1/31,10210,10260.5,10175.5,10237.92
2011/2/1,10270,10295.5,10240.5,10274.5
2011/2/2,10365,10490.5,10360,10457.36
2011/2/3,10410,10445.5,10410,10431.36
2011/2/4,10540,10580.5,10535,10543.52
2011/2/7,10650,10655,10565.5,10592.04
2011/2/8,10635,10645,10620.5,10635.98
2011/2/9,10680,10695,10597.5,10617.83
2011/2/10,10577,10627.5,10567.5,10605.65
2011/2/14,10685,10725.54,10667.5,10725.54
2011/2/15,10722,10752.5,10712.5,10746.67
2011/2/16,10762,10837.5,10752,10808.29
2011/2/17,10872,10887.5,10817.5,10836.64
2011/2/18,10817,10852.5,10807.5,10842.8
2011/2/21,10810,10857.53,10787.5,10857.53
2011/2/22,10737,10752.5,10637.5,10664.7
2011/2/23,10587,10662.5,10567,10579.1
2011/2/24,10543,10543.5,10428.5,10452.71
2011/2/25,10473,10530.5,10453.5,10526.76
2011/2/28,10500,10625.5,10445.5,10624.09
2011/3/1,10668,10754.03,10665,10754.03
2011/3/2,10610,10620.5,10492.38,10492.38
2011/3/3,10530,10595.5,10520.5,10586.02
2011/3/4,10750,10770.5,10660.5,10693.66
2011/3/7,10610,10615,10465.5,10505.02
2011/3/8,10520,10565.5,10505.5,10525.19
2011/3/9,10615,10660.5,10565.5,10589.5
2011/3/10,10528,10543.5,10400.5,10434.38
2011/3/11,10350,10375.5,10225.5,10254.43
2011/3/14,9575,9817.5,9520,9620.49
2011/3/15,9235,9287.5,7862.5,8655
2011/3/16,9105,9135.5,8782.5,9093.72
2011/3/17,8543,9080.5,8443,8962.67
2011/3/18,9083,9260.5,9075,9206.75
2011/3/22,9545,9610.5,9455.5,9608.32
2011/3/23,9553,9568,9376.5,9449.47
2011/3/24,9451,9501.5,9411.5,9435.01
2011/3/25,9576,9576,9466.5,9536.13
2011/3/28,9548,9548,9405.5,9478.53
2011/3/29,9330,9498.5,9315.5,9459.08
2011/3/30,9498,9710.5,9473.5,9708.79
2011/3/31,9760,9760,9660.5,9755.1
2011/4/1,9750,9825.5,9695.5,9708.39
2011/4/4,9765,9810.5,9710,9718.89
2011/4/5,9725,9730,9569.5,9615.55
2011/4/6,9674,9674,9564.5,9584.37
2011/4/7,9659,9689.5,9579,9590.93
2011/4/8,9554,9809.5,9534.5,9768.08
2011/4/11,9712,9774.5,9699.5,9719.7
2011/4/12,9589,9604.5,9496.5,9555.26
2011/4/13,9521,9656.5,9516,9641.18
2011/4/14,9576,9681.5,9551,9653.92
2011/4/15,9634,9656,9576.5,9591.52
2011/4/18,9586,9608.5,9541.5,9556.65
2011/4/19,9441,9481.5,9391.5,9441.03
2011/4/20,9546,9631.5,9516.5,9606.82
2011/4/21,9691,9726.5,9646.5,9685.77
2011/4/22,9626,9731.5,9616,9682.21
2011/4/25,9701,9746.5,9656.5,9671.96
2011/4/26,9621,9621.5,9536.5,9558.69
2011/4/27,9636,9726.5,9636,9691.84
2011/4/28,9741,9851.5,9716.5,9849.74
2011/5/2,9966,10046.5,9941.5,10004.2
2011/5/6,9781,9876.5,9776,9859.2
2011/5/9,9881,9896,9781.5,9794.38
2011/5/10,9811,9851.5,9756.5,9818.76
2011/5/11,9921,9931.5,9841.5,9864.26
2011/5/12,9766,9836.5,9711.5,9716.65
2011/5/13,9751,9751,9546.5,9648.77
2011/5/16,9581,9596.5,9551.5,9558.3
2011/5/17,9506,9596.5,9501.5,9567.02
2011/5/18,9601,9691.5,9586.5,9662.08
2011/5/19,9711,9726.5,9601.5,9620.82
2011/5/20,9616,9666.5,9601.5,9607.08
2011/5/23,9541,9541,9436.5,9460.63
2011/5/24,9411,9491.5,9406,9477.17
2011/5/25,9486,9506.5,9411.5,9422.88
2011/5/26,9496,9566.5,9491,9562.05
2011/5/27,9511,9591.5,9491.5,9521.94
2011/5/30,9481,9536.5,9451.5,9504.97
2011/5/31,9491,9701.5,9491,9693.73
2011/6/1,9706,9726.5,9661.5,9719.61
2011/6/2,9526,9576.5,9511.5,9555.04
2011/6/3,9551,9601.5,9491.5,9492.21
2011/6/6,9461,9491.5,9356.5,9380.35
2011/6/7,9371,9451.5,9361,9442.95
2011/6/8,9421,9456.5,9396.5,9449.46
2011/6/9,9416,9469.5,9376.5,9467.15
2011/6/10,9529,9624.5,9491.5,9514.44
2011/6/13,9404,9461.5,9386,9448.21
2011/6/14,9441,9561.5,9436,9547.79
2011/6/15,9586,9591,9516.5,9574.32
2011/6/16,9481,9490.5,9407,9411.28
2011/6/17,9445,9445,9312.5,9351.4
2011/6/20,9382,9419.5,9339.5,9354.32
2011/6/21,9412,9459.66,9376.5,9459.66
2011/6/22,9538,9653.5,9533,9629.43
2011/6/23,9558,9653.5,9553,9596.74
2011/6/24,9623,9693.5,9608.5,9678.71
2011/6/27,9623,9638,9568.5,9578.31
2011/6/28,9671,9708.5,9633.5,9648.98
2011/6/29,9778,9797.26,9733.5,9797.26
2011/6/30,9853,9853,9788.5,9816.09
2011/7/1,9883,9898.5,9853.5,9868.07
2011/7/4,9988,10003.5,9943.5,9965.09
2011/7/5,9973,9993.5,9948.5,9972.46
2011/7/6,9993,10083.5,9973.5,10082.48
2011/7/7,10048,10103.5,10028.5,10071.14
2011/7/8,10178,10193.5,10128.5,10137.73
2011/7/11,10063,10113.5,10058.5,10069.53
2011/7/12,9938,9968.5,9903.5,9925.92
2011/7/13,9893,9978.5,9883,9963.14
2011/7/14,9928,10003.5,9888.5,9936.12
2011/7/15,9928,9983.5,9923,9974.47
2011/7/19,9931,9943.5,9883,9889.72
2011/7/20,10018,10043.5,9988.5,10005.9
2011/7/21,10028,10033,9973.5,10010.39
2011/7/22,10116,10153.5,10083.5,10132.11
2011/7/25,10083,10093.5,10043.5,10050.01
2011/7/26,10078,10136.5,10046.5,10097.72
2011/7/27,10051,10056.5,10016.5,10047.19
2011/7/28,9926,9941.5,9851.5,9901.35
2011/7/29,9866,9911.5,9821.5,9833.03
2011/8/1,9921,10041.5,9921,9965.01
2011/8/2,9866,9881.5,9821.5,9844.59
2011/8/3,9671,9686.5,9606.5,9637.14
2011/8/4,9681,9766.5,9611.5,9659.18
2011/8/5,9282,9347.5,9257.5,9299.88
2011/8/8,9157,9212.5,9052.5,9097.56
2011/8/9,8762,8962,8652.5,8944.48
2011/8/10,9162,9162,9017.5,9038.74
2011/8/11,8832,8982.5,8817,8981.94
2011/8/12,9082,9082,8922.5,8963.72
2011/8/15,9082,9112.5,9027.5,9086.41
2011/8/16,9132,9147.5,9072.5,9107.43
2011/8/17,9037,9080.5,9002.5,9057.26
2011/8/18,9033,9045,8925.5,8943.76
2011/8/19,8725,8790.5,8700.5,8719.24
2011/8/22,8685,8775.5,8615.5,8628.13
2011/8/23,8690,8740.5,8630.5,8733.01
2011/8/24,8800,8815.5,8615.5,8639.61
2011/8/25,8755,8845.5,8735.5,8772.36
2011/8/26,8745,8797.78,8735,8797.78
2011/8/29,8796,8921.5,8746.5,8851.35
2011/8/30,8958,8993.5,8939.5,8953.9
2011/8/31,8934,8964.5,8906.5,8955.2
2011/9/1,9009,9094.5,8999.5,9060.8
2011/9/2,8979,9009.5,8910.5,8950.74
2011/9/5,8830,8840.5,8757.5,8784.46
2011/9/6,8680,8705.5,8585.5,8590.57
2011/9/7,8735,8771.5,8700.5,8763.41
2011/9/8,8860,8875,8758.5,8793.12
2011/9/9,8768,8808.5,8728.5,8737.66
2011/9/12,8528,8578.5,8518.5,8535.67
2011/9/13,8583,8633.5,8553.5,8616.55
2011/9/14,8623,8668.5,8498.5,8518.57
2011/9/15,8668,8693.5,8633.5,8668.86
2011/9/16,8803,8864.16,8778.5,8864.16
2011/9/20,8748,8763.5,8708.5,8721.24
2011/9/21,8721,8773.5,8713.5,8741.16
2011/9/22,8643.02,8643.02,8545.46,8560.26
2011/9/26,8547.62,8556.66,8359.7,8374.13
2011/9/27,8496.33,8609.95,8479.05,8609.95
2011/9/28,8607.92,8665.54,8595.85,8615.65
2011/9/29,8527.64,8706.14,8501.42,8701.23
2011/9/30,8713.91,8756,8653.62,8700.29
2011/10/3,8567.98,8577.52,8455.67,8545.48
2011/10/4,8426.39,8470.76,8359.24,8456.12
2011/10/5,8491.43,8501.03,8343.01,8382.98
2011/10/6,8463.83,8545.79,8463.83,8522.02
