DATE,OPEN,HIGH,LOW,CLOSE
20010409,-1.591,-2.745,-3.392,-4.134
20010410,-3.491,-3.134,-2.063,-1.74
20010411,-0.494,2.412,1.145,4.301
20010412,3.236,1.83,3.108,1.338
20010413,1.874,0.933,1.249,0.249
20010416,-0.866,-0.944,-0.555,-0.982
20010417,-1.204,-1.856,-1.51,-1.427
20010418,-0.07,3.733,1.149,4.304
20010419,4.596,2.832,4.596,1.647
20010420,0.474,-0.711,-0.748,-0.743
20010423,-0.129,0.374,-0.348,-0.364
20010424,-1.523,-2.078,-1.744,0.201
20010425,1.248,1.139,2.696,0.612
20010426,1.222,1.17,1.356,1.047
20010427,0.481,-0.135,-1.172,-0.277
20010501,0.427,2.527,2.16,3.464
20010502,2.418,0.134,1.41,-0.026
20010507,-0.397,0.767,-0.784,0.745
20010508,0.25,-0.938,0.299,-1.668
20010509,-1.29,-1.29,-1.913,-1.439
20010510,-1.413,-0.269,0.414,-0.477
20010511,0.139,-0.132,0.201,0.186
20010514,-0.095,-0.968,-1.544,-1.224
20010515,-1.525,0.435,-0.164,1.296
20010516,1.588,-0.372,-0.813,-2.593
20010517,-1.471,-0.539,0.226,1.568
20010518,0.62,0.66,1.105,-0.237
20010521,0.051,1.036,0.439,2.132
20010522,2.36,0.919,1.087,-0.606
20010523,-1.835,-0.983,-0.718,-0.167
20010524,-0.701,-1.873,-1.359,-1.23
20010525,-0.322,0.121,-0.311,-0.939
20010528,-0.996,-0.993,-0.414,-0.205
20010529,-0.251,0.116,-0.031,0.263
20010530,-0.123,-1.131,-1.685,-2.058
20010531,-2.113,-1.925,-1.89,-1.728
20010601,-0.222,-0.19,0.214,-0.002
20010604,-0.532,-0.614,-0.236,0.38
20010605,-0.465,-0.421,-1.753,-0.984
20010606,0.43,0.427,1.1,-0.054
20010607,-1.265,-0.095,-0.592,0.776
20010608,1.525,1.568,2.049,1.144
20010611,0.665,-0.47,-0.719,-1.529
20010612,-2.273,-2.128,-2.954,-2.965
20010613,-1.755,-1.485,-0.286,-0.13
20010614,-0.446,-0.271,0.005,0.181
20010615,-0.813,-1.066,-1.775,-0.439
20010618,0.345,-0.083,0.617,-0.727
20010619,-0.253,0.978,-1.152,-0.978
20010620,-1.255,-1.175,0.004,0.795
20010621,1.589,1.889,1.707,2.245
20010622,2.054,0.565,1.66,0.632
20010625,0.085,-0.043,-0.909,-1.142
20010626,-1.519,-0.358,0.112,0.637
20010627,0.623,-0.299,-0.069,-1.161
20010628,-0.643,-0.861,-2.061,-1.169
20010629,-0.075,0.84,1.987,2.255
20010702,0.665,-0.429,-1.493,-1.694
20010703,-0.575,-0.058,0.926,0.518
20010704,-0.421,-0.938,-1.28,-1.481
20010705,-1.877,-0.978,-0.554,-0.172
20010706,-0.512,-1.41,-1.821,-2.418
20010709,-2.495,-2.099,-2.142,-0.541
20010710,0.463,1.158,0.949,0.495
20010711,-0.571,-1.662,-1.15,-2.43
20010712,-0.372,1.869,1.06,3.301
20010713,2.318,0.295,1.318,-0.426
20010716,-0.074,-0.291,-0.249,-0.095
20010717,-1.567,-1.491,-1.317,-1.756
20010718,-0.773,-0.734,-2.131,-1.965
20010719,-1.859,-1.286,0.13,0.133
20010723,0.035,-0.653,-2.834,-2.541
20010724,-2.496,-0.16,0.266,2.329
20010725,1.829,1.429,1.703,0.07
20010726,0.769,-0.763,0.524,-0.278
20010727,-0.437,-0.122,-0.989,-0.511
20010730,-0.138,-0.672,-1.44,-1.872
20010731,-1.611,0.082,1.013,2.402
20010801,2.239,0.792,1.373,0.828
20010802,1.263,3.57,2.033,3.612
20010803,2.167,-0.335,1.488,-1.276
20010806,-1.358,-0.313,-1.201,0.016
20010807,-0.127,0.497,-0.129,0.615
20010808,0.905,-0.772,0.412,-1.273
20010809,-1.878,-2.057,-3.139,-3.421
20010810,-2.983,-1.44,-0.609,-0.166
20010813,0.119,-1.475,-2.299,-2.219
20010814,-0.946,2.028,1.472,3.765
20010815,1.923,-0.95,0.532,-1.373
20010816,-1.421,-1.522,-1.715,-2.066
20010817,-0.928,-0.552,-0.336,-0.605
20010820,-1.664,-1.946,-1.527,-1.653
20010821,-0.266,0.11,-0.716,0.199
20010822,-0.86,1.167,0.388,1.024
20010823,1.721,-0.777,-0.883,-2.393
20010824,-1.986,-1.633,-0.259,0.353
20010827,0.743,1.204,1.777,0.969
20010828,-0.162,-0.868,-2.008,-0.762
20010829,-1.509,-1.121,-0.696,-1.891
20010830,-1.532,-1.567,-1.52,-0.377
20010831,-0.986,-0.993,-1.15,-2.078
20010903,-0.759,-0.942,-2.603,-2.877
20010904,-2.988,0.127,-0.809,3.427
20010905,2.521,-0.868,1.224,-1.627
20010906,-0.981,1.241,0.541,0.485
20010907,-0.316,-2.304,-0.993,-1.262
20010910,-1.402,-1.042,-2.04,-3.101
20010911,-1.459,-1.082,0.111,0.949
20010912,-1.022,-1.993,-6.123,-6.864
20010913,-4.813,-4.62,-1.3,0.031
20010914,-0.401,3.32,1.086,4.035
20010917,2.623,-1.291,-1.394,-5.172
20010918,-2.636,0.653,1.848,1.829
20010919,0.606,1.153,0.599,2.648
20010920,1.585,-2.2,0.065,-1.566
20010921,-1.836,-1.887,-3.201,-2.38
20010925,-0.213,2.148,2.215,1.444
20010926,0.517,-1.745,-0.432,-0.541
20010927,-0.896,0.311,0.356,0.567
20010928,1.885,2.1,1.569,0.803
20011001,-0.174,0.388,-1.379,2.001
20011002,1.736,1.634,2.751,1.634
20011003,2.552,0.838,0.528,-2.117
20011004,-1.543,-0.058,1.146,2.795
20011005,1.256,0.449,0.009,0.004
20011009,-0.217,-1.161,-0.277,-1.92
20011010,-1.469,-1.122,-0.78,-0.469
20011011,0.788,3.11,1.182,3.763
20011012,3.892,2.72,3.61,2.72
20011015,0.675,-0.823,0.253,-1.706
20011016,-1.062,1.401,-0.343,1.757
20011017,2.256,0.893,1.442,1.1
20011018,-0.164,-1.131,-0.843,-2.644
20011019,-1.724,-0.684,-0.354,0.609
20011023,2.013,2.476,2.009,3.017
20011024,1.175,0.911,1.139,-0.548
20011025,0.327,0.828,0.62,0.719
20011026,0.961,-0.286,-0.595,-0.784
20011029,-1.589,-2.039,-1.515,-1.708
20011030,-2.407,-2.431,-1.863,-0.942
20011031,-0.755,-0.574,-0.482,-1.403
20011101,-0.125,0.19,-0.466,-0.184
20011102,0.287,0.381,0.04,0.352
20011105,-0.318,-0.866,0.223,0.612
20011106,0.866,1.766,1.436,1.766
20011107,0.846,-0.012,-2.02,-3.335
20011108,-2.5,-1.906,-0.146,1.417
20011109,0.647,-0.184,-0.556,-2.093
20011112,-1.813,-1.47,-1.295,-1.322
20011113,-1.875,-1.998,-1.262,-0.507
20011114,0.839,1.71,1.213,0.559
20011115,0.387,2.497,0.651,3.919
20011116,3.19,3.38,3.028,1.506
20011119,1.463,-0.012,1.561,0.738
20011120,1.272,-0.644,-0.597,-1.43
20011121,-2.34,0.089,-0.616,0.805
20011122,0.824,-0.808,0.367,0.335
20011126,1.678,3.359,2.513,3.378
20011127,1.978,1.068,1.396,-1.049
20011128,-1.377,-2.594,-3.005,-3.005
20011129,-2.374,-2.147,-1.061,0.293
20011130,0.493,0.273,0.361,0.389
20011203,0.326,-0.027,-1.721,-3.103
20011204,-2.65,-2.046,-0.426,0.788
20011205,1.283,2.322,1.887,2.468
20011206,2.633,3.011,2.724,1.33
20011207,0.023,-1.223,-0.471,-0.558
20011210,-0.901,-1.661,-1.8,-2.114
20011211,-1.997,-1.232,-0.983,-0.923
20011212,-0.322,1.999,0.214,3.08
20011213,2.183,-0.829,-0.541,-3.467
20011214,-2.42,-1.201,-0.518,0.747
20011217,0.164,-1.132,-0.741,-1.808
20011218,-0.576,0.927,0.268,1.049
20011219,-0.28,-0.774,0.161,0.38
20011220,0.889,0.015,-0.008,-0.358
20011221,-0.872,-0.797,-0.9,-0.954
20011225,-0.342,-0.571,-0.733,-0.783
20011226,-0.835,-0.567,-0.078,-0.609
20011227,-0.583,1.512,0.053,2.567
20011228,2.757,1.086,2.44,0.81
20020104,1.251,2.796,1.801,3.072
20020107,1.609,0.992,1.74,0.65
20020108,0.356,-1.252,-1.316,-2.281
20020109,-1.681,-0.886,-0.224,-0.296
20020110,-0.085,-0.346,-1.364,-1.184
20020111,-1.094,-1.306,-0.504,-0.923
20020115,-1.692,-2.026,-2.262,-2.262
20020116,-1.824,-0.877,-1.1,-0.299
20020117,0.126,-0.113,-0.217,-0.487
20020118,-0.194,0.383,0.761,1.617
20020121,0.855,0.935,0.181,-0.127
20020122,-0.263,-1.096,-1.175,-2.255
20020123,-1.593,-1.228,-0.1,-0.1
20020124,0.251,0.839,-0.28,0.33
20020125,0.439,-0.888,0.047,0.693
20020128,0.558,1.505,1.375,0.753
20020129,0.014,-1.093,-1.29,-1.925
20020130,-2.685,-2.518,-1.841,-1.068
20020131,0.409,0.74,0.544,0.786
20020201,0.646,0.201,-1.648,-2.086
20020204,-2.2,-2.252,-1.147,-1.642
20020205,-2.39,-1.281,-1.576,-1.636
20020206,-0.866,-0.844,-0.557,-0.579
20020207,-0.143,0.335,0.401,1.709
20020208,0.879,1.227,0.84,1.067
20020212,2.603,1.989,2.878,1.962
20020213,0.861,0.896,0.496,0.911
20020214,1.128,1.935,1.493,1.125
20020215,0.836,-0.818,0.113,-0.328
20020218,-0.762,-0.324,-0.446,0.448
20020219,0.915,0.1,-1.349,-2.468
20020220,-3.323,-2.278,-0.746,-0.132
20020221,1.327,3.904,1.235,4.584
20020222,3.04,1.19,2.695,0.594
20020225,1.697,0.265,1.213,-0.584
20020226,0.103,0.12,-1.039,-0.916
20020227,-1.321,1.086,0.835,3.567
20020228,3.503,2.111,3.059,0.139
20020301,0.06,0.137,-0.45,2.095
20020304,2.791,5.722,3.734,5.735
20020305,5.223,1.323,3.653,-0.893
20020306,-1.339,0.392,0.089,0.089
20020307,0.856,0.36,1.002,2.519
20020308,2.041,2.7,1.397,2.018
20020311,1.959,0.198,1.184,0.282
20020312,-0.657,-1.017,-1.416,-2.652
20020313,-2.695,-1.166,-1.668,-1.668
20020314,-0.664,-1.76,-0.598,1.336
20020315,1.067,1.208,1.666,0.682
20020318,1.293,0.681,-0.523,-1.293
20020319,-1.268,0.028,1.042,2.528
20020320,2.015,0.348,-0.814,-2.282
20020322,-3.203,-2.692,-1.556,-1.589
20020325,-1.069,-1.231,-1.416,-0.743
20020326,-1.107,1.27,-0.017,-0.473
20020327,0.333,-0.9,0.227,1.028
20020328,0.548,-0.639,0.451,0.083
20020329,0.325,0.364,-1.941,-2.757
20020401,-2.176,-2.14,-0.157,0.034
20020402,0.33,0.615,0.383,1.581
20020403,-0.352,2.289,-0.069,1.736
20020404,2.898,0.523,2.627,-0.189
20020405,-0.56,-1.082,-0.303,-0.385
20020408,-0.398,0.149,-0.326,0.153
20020409,0.143,-0.586,-1.359,-2.122
20020410,-2.215,-0.618,-0.545,0.932
20020411,1.807,0.243,0.852,-0.638
20020412,-1.982,-1.764,-2.279,-1.667
20020415,-0.509,0.143,0.418,1.578
20020416,1.328,1.85,1.807,1.862
20020417,2.319,1.731,2.329,1.722
20020418,0.672,0.786,0.71,0.277
20020419,-0.098,-0.951,-0.86,-0.552
20020422,0.578,2.054,1.468,1.805
20020423,0.674,0.407,0.187,0.13
20020424,0.993,-0.04,0.749,-0.546
20020425,-0.491,-0.853,-0.694,-0.207
20020426,-0.085,-0.196,-1.028,-0.926
20020430,-1.286,-1.173,-0.209,-0.424
20020501,0.065,0.369,0.763,0.523
20020502,0.601,0.157,-0.084,-0.015
20020507,-0.948,-0.875,-2.352,-2.055
20020508,-1.256,0.631,0.935,1.793
20020509,2.412,1.254,2.298,0.972
20020510,-0.855,-1.202,-0.835,-0.882
20020513,-0.528,-0.984,-1.878,-1.698
20020514,-0.195,0.294,0.241,0.17
20020515,0.3,1.606,1.308,2.494
20020516,1.601,0.456,0.807,0.819
20020517,1.268,1.517,2.039,0.921
20020520,0.569,0.134,0.157,0.078
20020521,-0.71,-0.994,-0.602,-0.468
20020522,-0.307,1.164,0.015,1.354
20020523,1.967,0.472,1.433,0.149
20020524,0.101,0.03,-0.791,-0.03
20020527,-0.317,0.481,0.924,0.001
20020528,-0.279,-1.091,-0.529,-0.337
20020529,-0.881,-0.525,-0.785,-0.698
20020530,-0.278,-0.634,-0.988,-0.702
20020531,-0.203,0.837,0.541,-0.054
20020603,0.2,-0.057,0.446,1.164
20020604,0.427,-0.26,-1.469,-2.109
20020605,-1.279,-0.887,0.255,0.093
20020606,-0.032,-0.217,-0.981,-0.765
20020607,-2.012,-2.386,-1.525,-1.185
20020610,0.034,0.479,0.04,-0.599
20020611,-0.704,-0.065,0.177,0.694
20020612,0.017,-0.953,-1.134,-1.075
20020613,-0.231,-0.079,-1.155,-1.622
20020614,-2.172,-2.39,-2.01,-2.032
20020617,-2.401,-2.172,-3.101,-2.377
20020618,-0.541,-0.035,1.592,1.635
20020619,-0.393,-1.04,-2.821,-3.413
20020620,-2.731,-1.329,-1.186,1.297
20020621,0.215,-1.323,0.023,-2.467
20020624,-2.254,0.01,-1.55,1.123
20020625,2.008,0.851,2.286,0.242
20020626,-0.841,-1.949,-3.357,-4.104
20020627,-1.889,-0.389,1.141,1.84
20020628,2.026,2.728,1.853,3.45
20020701,2.513,0.519,1.672,-0.249
20020702,-1.307,-0.514,-1.625,0.253
20020703,0.047,2.238,1.192,1.773
20020704,2.169,-0.66,1.233,-1.674
20020705,-0.475,0.873,0.708,1.801
20020708,2.472,1.503,0.547,-0.527
20020709,-1.22,-0.822,0.101,1.758
20020710,0.274,0.141,-0.17,-1.912
20020711,-2.03,-3.035,-2.787,-2.514
20020712,-0.367,0.439,1.074,1.097
20020715,-0.571,-1.376,-1.879,-2.158
20020716,-2.253,-0.429,-1.192,-1.209
20020717,-0.552,-1.681,-1.344,0.444
20020718,1.072,1.785,2.217,1.945
20020719,0.525,-0.883,-1.615,-2.859
20020722,-3.369,-1.215,-1.909,-0.131
20020723,0.259,-0.269,0.216,0.261
20020724,0.32,-1.226,-1.032,-2.658
20020725,-0.543,0.234,0.101,-0.179
20020726,-2.122,-2.979,-3.734,-3.472
20020729,-2.194,-0.157,0.926,0.786
20020730,1.511,1.623,1.593,3.427
20020731,1.656,-0.49,0.409,-1.265
20020801,-0.525,-0.528,-0.954,-0.858
20020802,-1.996,-1.225,-1.078,-0.86
20020805,-0.821,-0.164,0.032,-0.049
20020806,-0.154,-1.575,-2.071,-2.123
20020807,0.153,2.587,2.067,3.449
20020808,2.13,0.663,1.072,-0.355
20020809,0.275,1.024,1.188,2.023
20020812,0.606,-1.116,-1.112,-2.552
20020813,-2.658,-1.377,-1.069,-0.609
20020814,-0.303,-1.172,-0.262,-0.519
20020815,1.013,1.739,1.253,1.617
20020816,1.214,0.324,-0.127,-0.076
20020819,-0.874,-1.122,-2.376,-1.95
20020820,-0.79,-0.31,0.903,0.225
20020821,-1.619,-0.374,-0.647,0.228
20020822,1.145,1.485,0.286,1.762
20020823,2.5,1.291,3.222,0.543
20020826,-0.842,1.811,-0.68,2.009
20020827,1.914,-0.94,1.038,-1.606
20020828,-0.807,-1.137,-1.567,-1.429
20020829,-2.445,-2.604,-1.934,-1.512
20020830,-0.358,-0.206,-0.355,-0.009
20020902,-0.852,-1.169,-0.388,-1.021
20020903,-1.217,-0.972,-2.896,-3.251
20020904,-3.516,-3.366,-2.436,-1.552
20020905,0.273,1.424,0.891,1.607
20020906,-0.428,-1.518,-1.18,-1.014
20020909,1.232,2.194,2.773,1.922
20020910,1.436,1.089,0.573,0.033
20020911,0.313,-0.248,0.845,0.97
20020912,-0.267,0.086,-1.094,0.161
20020913,-0.646,-1.439,-1.029,-1.858
20020917,0.541,2.878,2.081,3.216
20020918,0.879,-0.585,-0.984,-0.756
20020919,1.837,3.742,3.7,2.064
20020920,-0.424,-2.166,-1.663,-1.969
20020924,-1.79,-2.899,-2.791,-1.696
20020925,-1.975,-0.503,-0.895,-1.69
20020926,0.567,0.403,1.726,1.682
20020927,1.614,1.956,1.614,2.223
20020930,0.059,-1.068,-1.073,-1.556
20021001,-1.408,-1.932,-1.863,-2.384
20021002,-0.402,0.047,-1.033,-1.24
20021003,-2.122,-2.24,-1.355,-1.255
20021004,-1.762,-0.667,-0.752,1.014
20021007,0.235,-1.19,-2.402,-3.834
20021008,-2.365,-1.375,0.278,0.24
20021009,-0.728,-1.688,-2.05,-1.966
20021010,-2.115,-1.915,-3.609,-1.175
20021011,0.525,1.448,3.433,1.061
20021015,1.505,2.975,1.847,3.537
20021016,3.328,1.158,2.115,0.543
20021017,-0.448,0.707,0.764,0.841
20021018,1.803,1.061,1.803,1.399
20021021,0.579,-0.2,-1.195,-1.193
20021022,-1.538,-1.626,-2.936,-3.272
20021023,-3.93,-2.379,-2.21,0.289
20021024,1.162,-0.264,0.586,-1.157
20021025,-1.294,0.264,0.735,1.292
20021028,0.781,-0.014,-0.636,0.357
20021029,0.41,0.318,1.396,-0.558
20021030,-0.972,0.651,-0.728,0.548
20021031,2.283,-0.137,-0.449,-1.335
20021101,-2.048,-1.512,-0.061,0.522
20021105,1.594,3.361,2.524,2.858
20021106,1.861,1.162,1.395,0.176
20021107,-0.494,-1.606,-0.671,-0.368
20021108,-0.983,-1.476,-2.253,-2.608
20021111,-2.347,-2.347,-2.653,-2.687
20021112,-2.552,-1.083,-0.595,0.052
20021113,1.223,-0.246,0.106,-0.311
20021114,-0.913,-0.054,-1.03,-1.614
20021115,-0.313,0.187,1.153,2.382
20021118,0.893,-0.441,-1.286,-1.87
20021119,-1.762,-0.784,-0.554,0.23
20021120,0.645,1.409,1.312,1.122
20021121,1.825,1.746,2.079,2.434
20021122,2.547,1.557,2.146,1.198
20021125,0.685,1.54,0.409,1.94
20021126,1.409,0.298,-0.02,-1.356
20021127,-2.061,-0.628,0.129,0.586
20021128,2.339,2.856,2.329,3.334
20021129,2.241,1.173,1.743,0.422
20021202,0.401,-0.456,-0.141,-0.447
20021203,0.385,0.735,0.777,0.333
20021204,-1.28,-2.098,-2.458,-2.179
20021205,-1.746,-1.004,-0.596,-0.995
20021206,-0.794,-1.43,-1.155,-0.611
20021209,-0.688,0.393,-0.074,-0.398
20021210,-0.916,-0.819,-0.513,-0.267
20021211,1.133,0.076,-0.322,-0.877
20021212,-1.287,-1.375,-0.486,-0.218
20021213,-0.555,-0.694,-2.174,-2.237
20021216,-2.27,-1.434,-0.947,-0.768
20021217,0.306,0.154,0.84,0.705
20021218,-0.668,-1.103,-2.105,-1.978
20021219,-1.861,-0.92,-0.651,0.521
20021220,1.149,0.121,0.595,0.23
20021224,0.307,1.586,1.003,1.247
20021225,0.801,-0.338,0.785,-0.132
20021226,0.86,2.074,1.375,2.313
20021227,1.285,0.087,0.675,0.16
20021230,-0.796,-1.112,-1.015,-1.563
20030106,0.604,1.659,1.466,1.554
20030107,1.612,0.765,-0.177,-0.654
20030108,-2.254,-2.461,-1.902,-1.615
20030109,-2.042,-1.36,-1.076,-0.234
20030110,1.447,0.842,-0.267,-0.324
20030114,-0.592,-0.001,0.874,0.971
20030115,0.601,0.493,0.276,0.684
20030116,0.099,0.089,0.718,-0.03
20030117,-0.068,1.303,0.304,0.937
20030120,0.84,-0.863,-0.787,-1.524
20030121,-0.894,1.121,0.397,1.735
20030122,1.374,-0.536,0.466,-1.126
20030123,-0.369,0.988,-0.076,2.067
20030124,1.502,0.348,1.612,-0.677
20030127,-1.41,-1.548,-1.304,-1.409
20030128,-1.454,-1.241,-0.906,-0.981
20030129,-0.022,-0.622,-2.463,-2.306
20030130,-1.951,-1.447,0.101,-0.171
20030131,-0.876,-0.705,-0.911,0.278
20030203,-0.077,1.943,0.203,1.91
20030204,3.209,0.79,2.762,-0.187
20030205,-1.538,-0.058,-0.721,0.763
20030206,1.614,0.242,0.323,-0.771
20030207,-0.933,-0.909,-0.338,-0.426
20030210,-0.656,-0.177,0.055,0.434
20030212,1.033,2.028,1.033,2.09
20030213,1.516,-0.041,0.418,-0.747
20030214,-0.207,1.131,0.737,1.182
20030217,1.595,0.565,1.363,0.801
20030218,0.11,-0.306,-0.662,-0.904
20030219,-0.214,-0.244,-0.083,-0.167
20030220,-1.498,-1.401,-1.061,-0.318
20030221,0.304,0.398,-0.806,-1.601
20030224,-1.733,-0.912,-0.209,0.602
20030225,-0.335,-1.467,-1.955,-2.416
20030226,-1.763,-0.616,0.033,-0.044
20030227,0.199,-0.614,-0.729,0.031
20030228,1.024,0.846,0.788,0.044
20030303,-0.39,0.491,0.3,1.511
20030304,0.921,0.11,0.681,-0.12
20030305,-0.867,-0.072,-0.523,-0.09
20030306,0.711,0.186,-0.017,-1.229
20030307,-1.971,-2.056,-2.726,-2.726
20030310,-2.431,-2.717,-2.094,-1.259
20030311,-1.573,-0.628,-1.426,-2.261
20030312,-0.789,-0.798,0.329,1.02
20030313,0.763,0.065,-0.251,-0.942
20030314,-0.711,0.44,0.555,1.69
20030317,1.232,-0.251,-0.527,-1.651
20030318,-0.44,0.781,1.058,1.047
20030319,-0.236,-0.374,-1.643,1.207
20030320,2.13,2.89,3.726,1.773
20030324,2.101,1.959,2.165,2.887
20030325,0.615,-0.878,-0.819,-2.355
20030326,-1.134,-0.016,0.308,1.364
20030327,1.139,0.073,0.801,0.2
20030328,0.105,-0.253,-0.914,-1.063
20030331,-1.453,-1.453,-3.668,-3.784
20030401,-4.125,-2.714,-1.066,0.176
20030402,1.827,0.626,0.645,1.035
20030403,1.329,1.334,1.025,-0.648
20030404,-1.99,-0.944,-0.41,0.701
20030407,1.539,1.818,1.385,2.155
20030408,0.935,-0.605,-0.075,-1.448
20030409,-1.338,-0.498,-0.579,-0.912
20030410,-0.775,-1.587,-1.049,-0.966
20030411,-0.849,-0.71,-1.69,-2.072
20030414,-1.646,-1.119,-1.478,-0.827
20030415,-0.33,0.262,1.442,1.113
20030416,1.188,0.36,0.661,0.517
20030417,-0.887,-1.059,-0.625,-0.734
20030418,0.477,0.613,0.714,0.67
20030421,0.296,1.223,-0.14,1.194
20030422,0.727,-0.622,-1.347,-2.267
20030423,-1.495,-0.648,0.115,0.037
20030424,0.193,0.534,0.635,0.782
20030425,-0.485,-1.672,-1.882,-1.994
20030428,-1.642,-1.56,-0.745,-1.197
20030430,0.206,1.883,1.192,2.896
20030501,1.408,0.823,0.657,0.406
20030502,0.748,0.14,0.599,0.557
20030506,1.676,2.82,2.575,2.206
20030507,1.63,0.278,0.826,0.324
20030508,-0.669,-1.027,-0.528,-0.969
20030509,0.135,0.98,-0.124,1.491
20030512,1.353,1.033,1.77,0.842
20030513,0.729,1.234,0.464,-0.376
20030514,-0.527,-0.814,-0.028,0.665
20030515,0.09,-0.653,-1.32,-1.485
20030516,-1.108,-0.808,0.083,-0.075
20030519,-0.441,-0.649,-1.408,-0.968
20030520,-1.301,0.026,-0.148,0.253
20030521,0.923,0.247,0.26,-0.51
20030522,-0.658,-0.595,0.19,0.413
20030523,1.394,1.806,1.391,1.64
20030526,0.879,0.521,1.004,0.519
20030527,0.046,-0.695,-1.046,-1.31
20030528,0.251,1.287,1.343,1.393
20030529,0.71,0.864,0.581,1.7
20030530,1.371,0.924,1.386,0.585
20030602,1.196,1.647,1.294,1.445
20030603,0.674,0.039,0.039,0.202
20030604,0.817,0.764,0.77,-0.077
20030605,0.397,0.161,0.572,1.154
20030606,0.386,1.469,0.306,1.475
20030609,1.197,0.774,1.316,0.419
20030610,-0.426,-0.851,-0.356,-0.382
20030611,0.93,2.246,1.343,1.145
20030612,1.632,-0.056,0.664,0.318
20030613,-0.425,0.206,-0.024,0.693
20030616,-0.202,-1.075,-0.923,-1.58
20030617,0.23,1.534,1.519,2.162
20030618,1.612,1.387,1.52,0.662
20030619,0.313,-0.526,-0.878,0.193
20030620,-0.926,-0.196,0.336,0.108
20030623,0.865,0.543,0.465,0.183
20030624,-0.574,-1.073,-1.987,-2.413
20030625,-1.789,-1.074,0.045,0.146
20030626,0.355,-0.404,-0.598,-0.099
20030627,0.927,2.119,1.879,2.004
20030630,1.158,0.085,0.686,-0.23
20030701,-0.241,1.572,0.023,2.128
20030702,2.777,3.25,2.984,3.326
20030703,3.662,3.124,1.584,0.339
20030704,-1.79,-2.652,-0.212,-0.804
20030707,0.613,2.077,1.113,2.558
20030708,3.189,1.89,2.745,1.052
20030709,-0.051,-0.366,-0.435,0.927
20030710,0.651,0.789,1.142,-0.354
20030711,-1.113,-2.193,-3.33,-3.27
20030714,-1.382,-0.542,0.619,1.241
20030715,1.281,1.129,0.833,-0.047
20030716,-0.332,-0.872,-1.053,-0.154
20030717,-1.513,-1.687,-1.498,-2.466
20030718,-1.999,-0.703,-0.377,0.303
20030722,0.353,-0.529,-0.57,-0.439
20030723,0.765,0.941,1.678,1.355
20030724,0.63,0.9,0.422,0.577
20030725,0.18,-0.268,-0.378,-0.238
20030728,1.008,1.574,1.733,1.969
20030729,1.481,0.87,0.875,-0.057
20030730,-0.854,-1.123,-1.954,-2.072
