DATE,OPEN,HIGH,LOW,CLOSE,DOW,JPY,UST10
20010806,-1.358,-0.313,-1.201,0.016,-0.365,-0.008,0.349
20010807,-0.127,0.497,-0.129,0.615,-1.066,0.178,-0.136
20010808,0.905,-0.772,0.412,-1.273,0.551,-0.218,0.29
20010809,-1.878,-2.057,-3.139,-3.421,-1.593,-0.008,-2.387
20010810,-2.983,-1.44,-0.609,-0.166,0.049,-1.491,-0.297
20010813,0.119,-1.475,-2.299,-2.219,1.136,0.189,-1.018
20010814,-0.946,2.028,1.472,3.765,-0.003,0.384,-0.241
20010815,1.923,-0.95,0.532,-1.373,-0.036,-0.59,0
20010816,-1.421,-1.522,-1.715,-2.066,-0.638,-1.798,0.642
20010817,-0.928,-0.552,-0.336,-0.605,0.449,0.65,-1.267
20010820,-1.664,-1.946,-1.527,-1.653,-1.471,-0.1,-2.045
20010821,-0.266,0.11,-0.716,0.199,0.771,0.407,1.395
20010822,-0.86,1.167,0.388,1.024,-1.424,-0.99,-0.798
20010823,1.721,-0.777,-0.883,-2.393,1.005,0.708,0.655
20010824,-1.986,-1.633,-0.259,0.353,-0.466,-0.441,-0.368
20010827,0.743,1.204,1.777,0.969,1.879,0.133,0.897
20010828,-0.162,-0.868,-2.008,-0.762,-0.392,-0.117,0
20010829,-1.509,-1.121,-0.696,-1.891,-1.556,0.133,-1.719
20010830,-1.532,-1.567,-1.52,-0.377,-1.291,0.092,-1.623
20010831,-0.986,-0.993,-1.15,-2.078,-1.712,-0.643,0.961
20010903,-0.759,-0.942,-2.603,-2.877,0.304,-0.521,0.58
20010904,-2.988,0.127,-0.809,3.427,0.24,-0.008,1.212
20010905,2.521,-0.868,1.224,-1.627,0.239,0.42,1.197
20010906,-0.981,1.241,0.541,0.485,0.357,1.159,0.101
20010907,-0.316,-2.304,-0.993,-1.262,-1.937,0.174,-1.871
20010910,-1.402,-1.042,-2.04,-3.101,-2.417,-0.681,-1.719
20010911,-1.459,-1.082,0.111,0.949,-0.004,0.813,1.122
20010912,-1.022,-1.993,-6.123,-6.864,-1.436,-1.507,-1.666
20010913,-4.813,-4.62,-1.3,0.031,-1.457,0.251,-1.342
20010914,-0.401,3.32,1.086,4.035,-1.479,-0.52,-1.361
20010917,2.623,-1.291,-1.394,-5.172,-1.501,-1.287,-1.631
20010918,-2.636,0.653,1.848,1.829,-1.524,0.425,1.35
20010919,0.606,1.153,0.599,2.648,-0.194,-0.519,2.162
20010920,1.585,-2.2,0.065,-1.566,-1.634,0.29,-0.595
20010921,-1.836,-1.887,-3.201,-2.38,-4.47,-1.137,0.996
20010925,-0.213,2.148,2.215,1.444,-1.69,0.275,-1.081
20010926,0.517,-1.745,-0.432,-0.541,5.022,0.777,0.34
20010927,-0.896,0.311,0.356,0.567,-1.075,0.187,-1.585
20010928,1.885,2.1,1.569,0.803,1.322,1.676,-1.61
20011001,-0.174,0.388,-1.379,2.001,1.896,-0.134,0.678
20011002,1.736,1.634,2.751,1.634,-0.121,0.526,-1.117
20011003,2.552,0.838,0.528,-2.117,1.279,0.481,-0.685
20011004,-1.543,-0.058,1.146,2.795,1.916,-0.116,-0.869
20011005,1.256,0.449,0.009,0.004,-0.692,-0.133,0.78
20011009,-0.217,-1.161,-0.277,-1.92,0.648,0.05,0.089
20011010,-1.469,-1.122,-0.78,-0.469,-0.741,-0.349,1.89
20011011,0.788,3.11,1.182,3.763,2.06,0.225,0.174
20011012,3.892,2.72,3.61,2.72,1.819,0.844,1.338
20011015,0.675,-0.823,0.253,-1.706,-0.707,-0.223,0.236
20011016,-1.062,1.401,-0.343,1.757,0.037,-0.256,-1.574
20011017,2.256,0.893,1.442,1.1,0.391,0.38,-0.873
20011018,-0.164,-1.131,-0.843,-2.644,-1.625,-0.025,0.088
20011019,-1.724,-0.684,-0.354,0.609,-0.758,-0.124,0.175
20011023,2.013,2.476,2.009,3.017,0.445,0.099,1.001
20011024,1.175,0.911,1.139,-0.548,1.466,1.099,0.604
20011025,0.327,0.828,0.62,0.719,0.059,0.187,-1.125
20011026,0.961,-0.286,-0.595,-0.784,1.247,0.073,-1.072
20011029,-1.589,-2.039,-1.515,-1.708,0.866,-0.147,-0.573
20011030,-2.407,-2.431,-1.863,-0.942,-2.931,-0.605,-0.822
20011031,-0.755,-0.574,-0.482,-1.403,-1.604,0.008,-1.573
20011101,-0.125,0.19,-0.466,-0.184,-0.515,0.36,-3.975
20011102,0.287,0.381,0.04,0.352,2.059,-0.336,-0.189
20011105,-0.318,-0.866,0.223,0.612,0.642,-0.246,2.795
20011106,0.866,1.766,1.436,1.766,1.252,0.033,-0.993
20011107,0.846,-0.012,-2.02,-3.335,1.577,-0.461,-1.12
20011108,-2.5,-1.906,-0.146,1.417,-0.384,-0.215,-1.799
20011109,0.647,-0.184,-0.556,-2.093,0.346,-0.647,2.43
20011112,-1.813,-1.47,-1.295,-1.322,0.213,0.208,0.488
20011113,-1.875,-1.998,-1.262,-0.507,-0.56,0.042,0.809
20011114,0.839,1.71,1.213,0.559,2.037,1.016,0.802
20011115,0.387,2.497,0.651,3.919,0.742,-0.074,3.3
20011116,3.19,3.38,3.028,1.506,0.495,0.599,5.5
20011119,1.463,-0.012,1.561,0.738,-0.055,0.506,1.329
20011120,1.272,-0.644,-0.597,-1.43,1.103,0.276,-0.912
20011121,-2.34,0.089,-0.616,0.805,-0.755,-0.561,1.262
20011122,0.824,-0.808,0.367,0.335,-0.676,0.431,1.974
20011126,1.678,3.359,2.513,3.378,0.75,0.688,0.543
20011127,1.978,1.068,1.396,-1.049,0.744,0.097,0.54
20011128,-1.377,-2.594,-3.005,-3.005,-1.11,-0.113,-1.811
20011129,-2.374,-2.147,-1.061,0.293,-1.642,-0.664,0.203
20011130,0.493,0.273,0.361,0.389,1.203,0.607,-3.526
20011203,0.326,-0.027,-1.721,-3.103,0.225,-0.372,-0.231
20011204,-2.65,-2.046,-0.426,0.788,-0.893,0.558,-1.334
20011205,1.283,2.322,1.887,2.468,1.321,0.113,-0.513
20011206,2.633,3.011,2.724,1.33,2.204,-0.072,4.953
20011207,0.023,-1.223,-0.471,-0.558,-0.15,0.458,2.158
20011210,-0.901,-1.661,-1.8,-2.114,-0.493,0.655,3.027
20011211,-1.997,-1.232,-0.983,-0.923,-1.282,0.397,-1.188
20011212,-0.322,1.999,0.214,3.08,-0.334,0.04,-0.905
20011213,2.183,-0.829,-0.541,-3.467,0.065,-0.095,-0.954
20011214,-2.42,-1.201,-0.518,0.747,-1.306,0.087,1.269
20011217,0.164,-1.132,-0.741,-1.808,0.457,1.01,2.26
20011218,-0.576,0.927,0.268,1.049,0.82,0.157,-0.116
20011219,-0.28,-0.774,0.161,0.38,1.07,0.141,-1.067
20011220,0.889,0.015,-0.008,-0.358,0.719,0.211,-1.711
20011221,-0.872,-0.797,-0.9,-0.954,-0.851,0.405,-0.119
20011225,-0.342,-0.571,-0.733,-0.783,0.501,0.76,0.988
20011226,-0.835,-0.567,-0.078,-0.609,0.263,1.022,1.114
20011227,-0.583,1.512,0.053,2.567,0.262,-0.015,1.102
20011228,2.757,1.086,2.44,0.81,0.427,0.648,-2.492
20020104,1.251,2.796,1.801,3.072,0.056,-0.426,0.805
20020107,1.609,0.992,1.74,0.65,1.204,-0.145,0.234
20020108,0.356,-1.252,-1.316,-2.281,-0.613,0.053,-1.494
20020109,-1.681,-0.886,-0.224,-0.296,-0.457,1.289,0.671
20020110,-0.085,-0.346,-1.364,-1.184,-0.558,0.136,-0.691
20020111,-1.094,-1.306,-0.504,-0.923,-0.26,-0.173,-1.457
20020115,-1.692,-2.026,-2.262,-2.262,-0.801,-0.423,-2.01
20020116,-1.824,-0.877,-1.1,-0.299,-0.637,-0.608,-0.638
20020117,0.126,-0.113,-0.217,-0.487,-2.158,0.456,-0.083
20020118,-0.194,0.383,0.761,1.617,1.409,0.522,1.842
20020121,0.855,0.935,0.181,-0.127,-0.797,-0.015,-0.774
20020122,-0.263,-1.096,-1.175,-2.255,-0.297,0.03,0.265
20020123,-1.593,-1.228,-0.1,-0.1,-0.298,0.968,0.265
20020124,0.251,0.839,-0.28,0.33,0.177,0.41,2.192
20020125,0.439,-0.888,0.047,0.693,0.667,0.253,-0.458
20020128,0.558,1.505,1.375,0.753,0.448,-0.297,1.271
20020129,0.014,-1.093,-1.29,-1.925,0.261,-0.612,0.118
20020130,-2.685,-2.518,-1.841,-1.068,-2.541,-0.18,-2.696
20020131,0.409,0.74,0.544,0.786,1.492,-0.331,1.467
20020201,0.646,0.201,-1.648,-2.086,1.597,1.286,0.656
20020204,-2.2,-2.252,-1.147,-1.642,-0.129,-1.136,-1.236
20020205,-2.39,-1.281,-1.576,-1.636,-2.247,-0.55,-1.557
20020206,-0.866,-0.844,-0.557,-0.579,-0.017,1.187,-0.224
20020207,-0.143,0.335,0.401,1.709,-0.331,-0.142,0.631
20020208,0.879,1.227,0.84,1.067,-0.29,-0.037,0.223
20020212,2.603,1.989,2.878,1.962,1.227,0.716,-1.161
20020213,0.861,0.896,0.496,0.911,1.219,-1.444,1.968
20020214,1.128,1.935,1.493,1.125,1.269,0.504,0.281
20020215,0.836,-0.818,0.113,-0.328,0.123,-0.964,-0.926
20020218,-0.762,-0.324,-0.446,0.448,-0.994,0.385,-1.692
20020219,0.915,0.1,-1.349,-2.468,-0.8,0.06,0.082
20020220,-3.323,-2.278,-0.746,-0.132,-0.807,0.706,0.082
20020221,1.327,3.904,1.235,4.584,1.992,0.082,0.41
20020222,3.04,1.19,2.695,0.594,-1.077,0.336,-0.656
20020225,1.697,0.265,1.213,-0.584,1.348,-0.134,-0.495
20020226,0.103,0.12,-1.039,-0.916,1.766,-0.149,0.372
20020227,-1.321,1.086,0.835,3.567,-0.301,0.581,1.594
20020228,3.503,2.111,3.059,0.139,0.122,-0.186,-2.007
20020301,0.06,0.137,-0.45,2.095,-0.212,-0.5,0.845
20020304,2.791,5.722,3.734,5.735,2.566,-0.202,2.232
20020305,5.223,1.323,3.653,-0.893,2.08,-0.934,0.301
20020306,-1.339,0.392,0.089,0.089,-1.46,0.008,0.12
20020307,0.856,0.36,1.002,2.519,1.341,-1.141,0.935
20020308,2.041,2.7,1.397,2.018,-0.464,-2.746,3.444
20020311,1.959,0.198,1.184,0.282,0.447,1.087,1.819
20020312,-0.657,-1.017,-1.416,-2.652,0.366,-0.117,-0.075
20020313,-2.695,-1.166,-1.668,-1.668,0.199,0.451,-0.188
20020314,-0.664,-1.76,-0.598,1.336,-1.235,0.433,-0.604
20020315,1.067,1.208,1.666,0.682,0.145,-0.224,2.451
20020318,1.293,0.681,-0.523,-1.293,0.853,-0.023,-1.434
20020319,-1.268,0.028,1.042,2.528,-0.278,1.666,-0.602
20020320,2.015,0.348,-0.814,-2.282,0.542,0.478,-0.227
20020322,-3.203,-2.692,-1.556,-1.589,-1.265,-0.425,2.188
20020325,-1.069,-1.231,-1.416,-0.743,-0.706,1.082,-0.056
20020326,-1.107,1.27,-0.017,-0.473,-1.41,0.406,0.074
20020327,0.333,-0.9,0.227,1.028,0.695,-0.27,-1.191
20020328,0.548,-0.639,0.451,0.083,0.708,-0.226,0.019
20020329,0.325,0.364,-1.941,-2.757,-0.221,-0.06,1.154
20020401,-2.176,-2.14,-0.157,0.034,-0.198,0.09,0.185
20020402,0.33,0.615,0.383,1.581,-0.199,0.488,0.184
20020403,-0.352,2.289,-0.069,1.736,-0.474,-0.06,-1.56
20020404,2.898,0.523,2.627,-0.189,-1.125,-0.421,-1.167
20020405,-0.56,-1.082,-0.303,-0.385,0.361,-0.324,-0.38
20020408,-0.398,0.149,-0.326,0.153,0.356,-0.507,-1.013
20020409,0.143,-0.586,-1.359,-2.122,-0.22,-0.068,1.07
20020410,-2.215,-0.618,-0.545,0.932,-0.395,-0.526,-1.147
20020411,1.807,0.243,0.852,-0.638,1.681,-0.138,0.67
20020412,-1.982,-1.764,-2.279,-1.667,-2.001,0.64,-0.555
20020415,-0.509,0.143,0.418,1.578,0.145,0.296,-1.003
20020416,1.328,1.85,1.807,1.862,-0.958,0.144,-0.369
20020417,2.319,1.731,2.329,1.722,2.036,-0.721,1.046
20020418,0.672,0.786,0.71,0.277,-0.785,-0.389,0.767
20020419,-0.098,-0.951,-0.86,-0.552,-0.152,-0.506,-0.633
20020422,0.578,2.054,1.468,1.805,0.507,0.238,0.038
20020423,0.674,0.407,0.187,0.13,-1.184,-0.277,-0.443
20020424,0.993,-0.04,0.749,-0.546,-0.467,0.192,-0.271
20020425,-0.491,-0.853,-0.694,-0.207,-0.585,-0.5,-0.973
20020426,-0.085,-0.196,-1.028,-0.926,0.046,-0.658,-0.353
20020430,-1.286,-1.173,-0.209,-0.424,-1.247,-0.702,-0.748
20020501,0.065,0.369,0.763,0.523,0.358,0.554,0.611
20020502,0.601,0.157,-0.084,-0.015,1.134,-0.797,-0.611
20020507,-0.948,-0.875,-2.352,-2.055,0.32,0.29,0.748
20020508,-1.256,0.631,0.935,1.793,-2.563,0.039,-0.768
20020509,2.412,1.254,2.298,0.972,3.056,0.732,3.153
20020510,-0.855,-1.202,-0.835,-0.882,-1.035,-0.435,-1.021
20020513,-0.528,-0.984,-1.878,-1.698,-0.976,-0.539,-0.914
20020514,-0.195,0.294,0.241,0.17,1.693,0.157,2.011
20020515,0.3,1.606,1.308,2.494,1.847,0.554,1.085
20020516,1.601,0.456,0.807,0.819,-0.53,-0.718,-0.646
20020517,1.268,1.517,2.039,0.921,0.443,0.399,-1.44
20020520,0.569,0.134,0.157,0.078,0.619,-1.692,1.63
20020521,-0.71,-0.994,-0.602,-0.468,-1.201,-0.469,-1.09
20020522,-0.307,1.164,0.015,1.354,-1.218,-0.994,-0.889
20020523,1.967,0.472,1.433,0.149,0.515,-0.008,-0.701
20020524,0.101,0.03,-0.791,-0.03,0.571,0.746,0.643
20020527,-0.317,0.481,0.924,0.001,-1.101,-0.256,-0.078
20020528,-0.279,-1.091,-0.529,-0.337,-0.609,0,-0.156
20020529,-0.881,-0.525,-0.785,-0.698,-0.613,-0.144,-0.156
20020530,-0.278,-0.634,-0.988,-0.702,-0.588,-0.129,-1.255
20020531,-0.203,0.837,0.541,-0.054,-0.114,-0.912,-0.793
20020603,0.2,-0.057,0.446,1.164,0.137,0.687,0.377
20020604,0.427,-0.26,-1.469,-2.109,-2.195,-0.436,-0.936
20020605,-1.279,-0.887,0.255,0.093,-0.226,0.452,0.638
20020606,-0.032,-0.217,-0.981,-0.765,1.118,0.233,0.417
20020607,-2.012,-2.386,-1.525,-1.185,-1.773,-0.282,-1.335
20020610,0.034,0.479,0.04,-0.599,-0.364,0.217,1.612
20020611,-0.704,-0.065,0.177,0.694,0.579,0.337,-0.674
20020612,0.017,-0.953,-1.134,-1.075,-1.337,0.408,-1.079
20020613,-0.231,-0.079,-1.155,-1.622,1.05,0.351,-0.282
20020614,-2.172,-2.39,-2.01,-2.032,-1.202,-0.678,-1.237
20020617,-2.401,-2.172,-3.101,-2.377,-0.301,-0.619,-2.082
20020618,-0.541,-0.035,1.592,1.635,2.225,0.161,0.954
20020619,-0.393,-1.04,-2.821,-3.413,0.193,0.016,-0.227
20020620,-2.731,-1.329,-1.186,1.297,-1.5,-0.395,-2.216
20020621,0.215,-1.323,0.023,-2.467,-1.367,-0.291,1.24
20020624,-2.254,0.01,-1.55,1.123,-1.905,-1.93,-0.523
20020625,2.008,0.851,2.286,0.242,0.302,0.494,1.376
20020626,-0.841,-1.949,-3.357,-4.104,-1.684,-0.321,-0.228
20020627,-1.889,-0.389,1.141,1.84,-0.074,-1.027,-1.526
20020628,2.026,2.728,1.853,3.45,1.629,-0.334,1.609
20020701,2.513,0.519,1.672,-0.249,-0.288,-0.084,-0.291
20020702,-1.307,-0.514,-1.625,0.253,-1.454,0.067,-0.542
20020703,0.047,2.238,1.192,1.773,-1.126,0.142,-1.114
20020704,2.169,-0.66,1.233,-1.674,0.523,-0.092,0.59
20020705,-0.475,0.873,0.708,1.801,1.776,0.275,1.087
20020708,2.472,1.503,0.547,-0.527,1.745,0.258,1.075
20020709,-1.22,-0.822,0.101,1.758,-1.121,-1.676,-1.325
20020710,0.274,0.141,-0.17,-1.912,-1.947,-0.22,-1.427
20020711,-2.03,-3.035,-2.787,-2.514,-3.156,-0.39,-2.418
20020712,-0.367,0.439,1.074,1.097,-0.136,-0.528,0.454
20020715,-0.571,-1.376,-1.879,-2.158,-1.338,-0.128,-1.39
20020716,-2.253,-0.429,-1.192,-1.209,-0.523,-0.446,1.174
20020717,-0.552,-1.681,-1.344,0.444,-1.941,-0.448,1.203
20020718,1.072,1.785,2.217,1.945,0.815,0.405,0.043
20020719,0.525,-0.883,-1.615,-2.859,-1.569,0.189,-1.548
20020722,-3.369,-1.215,-1.909,-0.131,-4.751,-0.551,-2.103
20020723,0.259,-0.269,0.216,0.261,-2.97,0.31,-1.606
20020724,0.32,-1.226,-1.032,-2.658,-1.062,1.087,-0.858
20020725,-0.543,0.234,0.101,-0.179,6.155,-0.7,1.15
20020726,-2.122,-2.979,-3.734,-3.472,-0.061,-0.24,-1.719
20020729,-2.194,-0.157,0.926,0.786,0.949,2.024,0.068
20020730,1.511,1.623,1.593,3.427,5.273,0.705,3.978
20020731,1.656,-0.49,0.409,-1.265,-0.366,0.492,0.524
20020801,-0.525,-0.528,-0.954,-0.858,0.649,-0.292,-2.852
20020802,-1.996,-1.225,-1.078,-0.86,-2.668,-0.477,-1.491
20020805,-0.821,-0.164,0.032,-0.049,-2.301,-0.42,-2.256
20020806,-0.154,-1.575,-2.071,-2.123,-3.296,0.763,-2.023
